review,hours,votes,sentiment
2122112121212,108.9,0,1
Still lose the track of my hero :(,3.4,1,1
Hay vcl,1857.5,0,1
♥♥♥♥♥♥♥♥♥♥ эта ваша дота‍,0.2,0,1
One of the games you hate to play yet you queue over and over again.,5914.4,0,1
ngam terox,513.4,0,1
toxicity 10/10,928.0,0,1
bad.,2407.5,0,1
♥♥♥♥♥♥♥♥♥♥ эта ваша дота‍,0.1,0,1
♥♥♥♥♥♥♥♥♥♥ эта ваша дота‍,0.1,0,1
♥♥♥♥♥♥♥♥♥♥ эта ваша дота‍,0.1,0,1
♥♥♥♥♥♥♥♥♥♥ эта ваша дота‍,0.1,0,1
♥♥♥♥♥♥♥♥♥♥ эта ваша дота‍,0.2,0,1
♥♥♥♥♥♥♥♥♥♥ эта ваша дота‍,0.1,0,1
♥♥♥♥♥♥♥♥♥♥ эта ваша дота‍,0.1,0,1
♥♥♥♥♥♥♥♥♥♥ эта ваша дота‍,0.1,0,1
♥♥♥♥♥♥♥♥♥♥ эта ваша дота‍,0.1,0,1
♥♥♥♥♥♥♥♥♥♥ эта ваша дота‍,0.1,0,1
♥♥♥♥♥♥♥♥♥♥ эта ваша дота‍,0.1,0,1
♥♥♥♥♥♥♥♥♥♥ эта ваша дота‍,0.1,0,1
♥♥♥♥♥♥♥♥♥♥ эта ваша дота‍,97.1,0,1
♥♥♥♥♥♥♥♥♥♥ эта ваша дота‍,0.1,0,1
♥♥♥♥♥♥♥♥♥♥ эта ваша дота‍,0.1,0,1
♥♥♥♥♥♥♥♥♥♥ эта ваша дота‍,0.1,0,1
The one and only,1731.5,0,1
Ehh.,6401.0,0,1
Efectivamente,684.7,0,1
good,948.1,0,1
nice game,2147.4,0,1
:),1254.0,0,1
"If you get good teammates, it's fun.",908.5,0,1
♥♥♥♥,5.7,0,1
WTF,1250.2,0,1
♥♥♥♥♥♥♥♥♥♥♥♥,86.2,0,1
Goodgame,604.1,0,1
Toxic behavour,5990.3,0,0
👍,7945.8,0,1
:),477.5,0,1
"This game is cool on its own, and if you play it not for the sake of increasing MMR, then everything is fine. However, we know that it's not the case, and people generally play and continue playing it out of hatred. But the question is, why? Probably it's for the emotions; when you play, you want to win, make a game-changing move. If you're planning to play it, know that over time, you'll either leave this game or become a toxic average player.",2630.9,0,1
along with cs supremacy,3.4,0,1
prepare to lose your sanity,4237.7,0,1
"Product received for free recommended for having fun,not for seriously",250.7,1,1
"slight chance (very big chance) of being racially abused, and called every slur in the known universe",207.1,0,1
Top game 😭😭😭,1.5,0,1
"This game is good, if you play a maximum of 3 MINDFUL Games a day. Always mute your whole team at the first sign of toxicity, or when you do a bad mistake and the flame is sure to come.",2976.4,0,1
"Hurts if you lose but, when you win its a mean dopamine rush",6039.3,0,1
:),1083.8,0,1
game play : ♥♥♥♥♥♥♥♥! community : toxic people in SEA sever 10/10,551.1,0,1
"Para jogar bem você precisa ter duas coisas: tempo e inteligência. Para quem tem QI e/ou tempo limitado, pode não ser uma boa ideia, ou seja, a comunidade é formada por uma combinação peculiar em que há uma linha tênue entre gênios e vagabundos, dito isso: O melhor moba já feito na história.",565.4,0,1
"игра на часок, не больше",641.9,0,1
?,178.2,1,1
/,725.8,0,1
good good goodddd,1499.1,0,1
♥♥♥♥ players,2698.8,0,1
Great game if you play for fun. If you get competitive in games it is hard.,2168.8,0,1
nice,628.4,0,1
just a waste of time,33.6,0,0
"♥♥♥♥♥♥♥♥♥♥ полная,советую",1161.8,0,1
"Got a cat here. Friends passing by can touch her and click Like to pet her once. Award for good luck, Take My Points for infinite pets :) ⠀⠀⠀⠀⠀⠀⠀⠀⠀ ＿＿ ／＞ フ | _ _ l ／` ミ＿xノ / | / ヽ ﾉ │ | | | ／￣| | | | | (￣ヽ＿_ヽ_)__) ＼二つ",3.1,1,1
good!,722.1,0,1
OK,1406.6,0,1
pretty good i guess,4785.2,0,1
"A wonderful game, but it only needs more additions and maps",2812.6,0,1
"Отличная игра, всем не советую",965.8,0,1
good,172.4,0,1
so hard,0.7,0,1
Not interesting,446.3,0,1
"An admiral, a seaman, and a swordsman walk into a bar. The bartender screams ""KUNKKA!!!!""",24.2,0,1
dota game for idiota,1389.5,0,1
delete tinker pls,4358.7,0,1
eh,4086.4,0,1
<7.00,1256.2,0,1
W Game.,1376.1,0,1
tatti game,2640.8,0,1
"dont, dont waste your time play this stupid game",15951.2,0,1
Nice game,1393.0,0,1
Cancer game.... ruined my life 10/10,4341.4,1,1
Super,3256.9,0,1
nice tactical game,0.2,0,1
Still sucks at buffing / nerfing heroes.,2510.1,0,0
Good game.,23995.2,1,1
Stop,563.7,0,1
Its More Than Just A Game...,456.9,0,1
♥♥♥♥♥♥♥♥♥♥,5.3,0,1
stop spamming am on ranked pls,111.0,0,1
:),3120.0,0,1
เกมหมาที่เรารัก,3413.7,0,1
"Очень приятная игра с добрыми и отзывчивыми игроками, самое то чтобы после тяжёлого рабочего дня поиграть под пивко!",135.5,0,1
залупа,52.9,0,1
good2,555.4,1,1
"realized that there were not 9 idiots in each match, but 10.",667.5,0,1
8/10,107.9,0,1
hhhhhhhhhhhh,4327.0,0,1
Quit playing ml,54.0,0,1
good way to be depress,2008.1,0,1
Goat,2460.3,0,1
hhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,152.7,0,1
Надеюсь у меня будет 10000 часов в доте и у меня появяться 10000 тысяч отчимов,46.7,0,1
save your life and don't play,13192.9,0,0
Dota the best game,189.8,0,1
...................,1621.5,0,1
Git gud. Play this if you like to suffer.,2713.5,0,1
ok,2890.7,0,1
good,2039.2,0,1
dota > league,756.1,0,1
yrs,4016.1,0,1
Product received for free thanks,942.6,0,1
"не играйте, в жизни плохо будет",505.9,0,1
good,7575.7,0,1
топ,72.1,0,1
Can be fun,4055.5,0,1
"Got a call from the hospital this morning. Doctor said mid or feed, cancer.",5220.8,0,1
"You love sucks, it is game for you.",5623.4,0,1
The best game ever,4191.3,0,1
buh,8218.5,0,1
Fun way to lose friendships.,4738.5,0,1
Best game for me.♥️,586.5,1,1
lol,5.9,0,1
Yo this game is absolute ♥♥♥♥. Honestly ♥♥♥♥♥♥♥ hate it. Pretty sure these reviews allow infinite characters and its not enough ♥♥♥♥♥♥♥ space for all my issues with it. Anyways who wants to queue up and play some Dota 2?,320.6,0,0
Тима расфидила течиса и он взорвал мои яйца,1217.9,0,1
supr,3148.1,0,1
This game is so good. 7 years playing this game,6433.2,0,1
ok,27.2,0,1
great game!,5078.1,0,1
I will never be good.,1583.2,0,1
Good game >:(,1406.8,0,1
отличная игра,2.1,0,1
ggwp,3.5,0,1
Recommended but don't play it,4077.0,0,1
still good but need more contents,1487.0,0,1
"Walang kupas.. solid parin ang Dota 2, pero sana dagdagan pa nila ang mga heros :D",1087.7,0,1
trash,4311.1,0,0
Nice game.,1146.4,0,1
It feels so good when you finally Uninstall DOTA2 :)),1589.4,0,1
must be party,4928.7,0,1
gwencana yo,1192.3,0,1
tt,2332.3,0,1
Its aight,2113.6,0,1
Great game,4017.5,0,1
I dont think I like it,5102.7,0,0
хорошая игра,813.0,0,1
bogo,688.9,0,1
Product received for free it's pretty good to spend time if you don't have dream,1060.4,0,1
moze,1060.1,0,1
nothing is best then chilling with lose and win game with friends or not,7465.8,0,1
Its Alright I guess.,5541.7,0,1
Very good. My friend carries me every time.,2.0,0,1
Good old days.,421.7,0,1
Great game. Even better with friends.,2647.9,0,1
...,935.6,0,1
Great game,3367.3,0,1
thats good',5935.9,0,1
"been playing for a while yet never bores me, 6/10",3772.9,0,1
fun to troll rage ppl,1104.9,0,1
dotka dotka,98.1,0,1
"Enjoyable game when played with friends,",2254.1,0,1
"turn yourself in to a racist, good",6306.6,1,1
Wasted so many hours in this game but still love this game.,2526.6,0,1
10 мужиків які водили мою маму в кіно з 10,757.6,0,1
good,2652.0,0,1
its alright,0.3,0,1
Easy way to ruin your life. 10/10,456.9,0,1
good,394.1,0,1
dont play this if you love your life,1991.3,0,1
One of the best cooperative game and always innovating.,2375.1,0,1
+,418.0,0,1
+,418.1,0,1
+,417.7,0,1
+,418.6,0,1
dsfaafsdafsd,23.0,0,1
Where arcana,1174.5,0,1
4k hours for nothing,4944.2,0,1
call,91.8,0,0
),417.7,0,1
"God said love your enemy, my enemy is dota so therefore I love it",1532.9,0,1
--,418.8,0,1
777,418.8,0,1
Long time favorite,1838.9,0,1
Good game to laugh at monkeys,791.1,0,1
++++,418.7,0,1
good,418.8,0,1
fun to play,37.5,0,1
Cons tough to learn,456.6,0,1
Don't try to play this game addictive as hell,5221.1,0,1
762,2401.2,0,1
by far the greatest MP game made just download it thats it,3557.3,0,1
First and best MOBA ever,5482.6,0,1
:3,1374.2,0,1
♥♥♥♥♥ TRASH GAME,2892.4,0,0
International Language learning application,2583.0,0,1
AWSOME GAME BUT IM NOOB YET,32.9,0,1
not bad game,2942.7,0,1
recommended,856.6,0,1
Jopa,3659.9,0,1
Dota,7000.2,0,1
сливал деньги с обедов на скины на миреску,1069.5,0,1
i am,7.1,0,1
Норм,98.2,0,1
"Product received for free It could be one of the best game and the worst, it all depend on the teammate. I really recommend playing cause it keep making me come back to it. Fun, good graphic and overall really a good game to play. I've been playing it since 2018 and i will continue playing it.",2011.0,0,1
<3,851.3,0,1
yes.,1202.6,0,1
Best game evergreen !!!!!!,1344.9,0,1
Still sucks,1265.6,0,1
"Muito bom, recomendo.",456.4,0,1
/,91.2,0,0
me likey,1004.1,0,1
найс,1485.5,0,1
Its okay,815.4,0,1
Nice,5387.1,0,1
"I absolutely love this game. Always playing either drow or warlock, my two best heroes.",424.7,0,1
nice,90.7,0,1
Ok,1491.7,0,1
The original MOBA!,300.4,0,1
Love this game!,306.3,0,1
Paske peli,8813.5,0,1
Very good to have fun with your friends.,122.4,0,1
"good game for wasting timee, lmao",1963.1,0,1
"Product received for free Обычно не пишу обзоры, я ничего не делаю бесплатно, но за деньги да, за деньги да, за деньги да(50 тенге)",45.6,0,1
idk man been playing this since release still not good at it. great game tho!,1492.1,0,1
гамнааааа,1231.4,0,1
Stress free game :D,2185.3,0,1
в этой игре любят родителей,38.4,0,1
still good,4694.3,0,1
why i'm still paying this?,671.9,0,1
nice,4158.2,0,1
best moba,1510.3,0,1
GG,4293.4,1,1
"Well, I think I've got the basics down, starting to learn more ""advanced"" stuff now, will update when I become better.",1644.0,4,1
"♥♥♥♥♥♥♥ game , will make you want to kill your teammates",1857.5,0,0
yessssssssssss,4337.0,0,1
nice place,3394.7,0,1
=),3123.9,0,1
.,486.4,0,1
One of the best Valve games,2838.6,0,1
save yourselve getting addicted,1610.6,0,0
Help.... too ... many... hours...,2549.7,0,1
"Best played with friends, this is the classic MOBA... shame about the community though..",945.0,0,1
buy this right now,2275.9,0,1
my friends dont like me anymore,10.1,0,1
its okay,2320.8,0,1
Play Doto,5616.6,0,1
just stop for a moment and think about what u doing to urself.,6685.8,0,0
Best!,2714.0,0,1
Best Game,348.9,0,1
the best,2979.9,0,1
insane,30.6,0,1
dis good,1547.7,0,1
"Hello, it is a good game and it receives updates soon, and this is good, but it takes some time to master.",307.2,0,1
One of the best multiplayer games I have played since 2012.,4653.1,2,1
game jembut marai angin duduk,3650.0,0,0
Its okay i guess.,1445.5,0,1
Product received for free pog,1117.4,0,1
"Best and most complex MOBA to be found, anywhere, anytime.",5059.6,0,1
"Ty sin mertvoi shluyhi, cyka",15.5,0,1
nice,505.0,0,1
Waste of time,3731.9,0,0
never play this it is a black hole of time and will eat your life and money with nothing to gain you play and play and get 1 maybe 2 good games but everything else will be a horrific slog trying to get to there please dont make this mistake.,1614.2,0,0
"Game sucks, I hate it with a passion but cannot stop playing it for some reason. you know if you win or lose in the first 10 mins of a match, but you need to stick out the remainder of the 45mins anyways. Match win is almost fully dependent on who picks the most OP hero, and gets the best start. Out of almost 500 matches, I've had maybe 5 comeback wins. The learning curve is big, but its mainly just learning the hero skills and what items to buy (also you'll be buying the same thing every match, there is little to no variation in the matches) Valve also claims to change the meta with patching heros, but this generally just results in minuscule changes, and even buffs to already OP heros. Don't even get me started on the god awful matchmaking...",335.3,0,0
"Игра замечательная и очень добрая к новичкам... Пока те находятся в меню. Комьюнити не только положительное, но и обладает навыками телепатии. Они рассказали мне, что на самом деле мой отец - это не мой отец, а мама работает не там где я думал.",340.3,0,1
best game,8298.5,0,1
After all these years still one of best online games,3149.9,0,1
waste my 4000 hours of my life,4256.4,0,1
топчег,372.0,0,0
do it,4942.8,0,1
игра топ за свои деньги,372.7,0,1
игра топ за свои деньги,371.6,0,1
игра топ за свои деньги,372.4,0,1
♥♥♥♥ game,1000.6,0,1
BP,0.2,0,1
игра топ за свои деньги,372.0,0,1
игра топ за свои деньги,371.6,0,1
игра топ за свои деньги,371.7,0,1
игра топ за свои деньги,371.0,0,0
StatTrak™ MAC-10 | Океански,371.2,0,1
yes yes gud gud,685.1,0,1
игра топ. если не играть,372.7,0,1
игра топ. если не играть,372.6,0,0
игра топ. если не играть,371.6,0,1
Product received for free i like this game ive been playing another game same kind (i dont say the name of the other game) for along period but really i recommend dota 2 its perfect,116.2,0,1
"Хорошая игра, если в неё не играть",867.1,0,1
good game,244.8,0,1
игра топ. если не играть,373.6,0,1
Залупа ♥♥♥♥♥♥♥♥♥♥♥♥♥♥,306.7,0,0
игра топ. если не играть,372.8,0,1
"Well, I don't remember my reality.",669.2,0,1
"Dota 2 is not just a , but also a language course and a social experiment that broadens my horizons far beyond the usual limits",734.3,1,1
игра топ. если не играть,372.2,0,1
игра топ. если не играть,371.8,0,1
"good game, toxic community",258.8,0,1
игра топ. если не играть,372.9,0,1
игра топ. если не играть,372.4,0,1
เกมหัวควย เซิร์ฟเวอร์แม่งก็แลคบ่อยชิบหาย เดฟแม่งก็ปรับทำเกมเละเทะ โดยเฉพาะตัวละคร,4522.2,0,0
игра топ. если не играть,372.3,0,1
игра топ. если не играть,371.3,0,1
игра топ. если не играть,371.5,0,0
Cool,3334.9,1,1
игра топ. если не играть,372.4,0,1
игра топ. если не играть,375.7,0,1
"I tried so hard, and got so far... But in the end, I am still Herald.",34.4,0,1
COOL GAME,2323.3,0,1
Good,143.9,0,1
Amazing Game,2881.5,0,1
If you want to kill some time great game for that!,1867.7,0,1
Product received for free Gaben fix Team Spirit,6.1,0,1
піся,79.0,0,1
"more russian pigs in my team, please",2773.1,0,0
Arumayana Jame,1949.0,0,1
The Best Game,456.1,0,1
Perfect game if you hate life.,6339.0,1,1
I suck at this game but I love it.,2205.1,0,1
"The game is very good for a moba game, enjoyable with friends,",1299.6,0,1
yep you can feel better,5592.2,1,1
with 6500 hrs what could i do,6511.4,0,1
good game,3889.8,0,1
Под пиво топ,823.4,0,1
why?,543.5,0,0
игра топ. если не играть,375.0,0,1
RIP sleep and sanity! :'),2868.1,0,1
"DOTA 2 SYSTEM REQUIREMENTS: OS: Windows 7 or newer Processor: Dual core from Intel or AMD at 2.8 GHz Memory: 4 GB RAM Graphics: NVIDIA GeForce 8600/9600GT, ATI/AMD Radeon HD2600/3600 DirectX: Version 11 Network: Broadband Internet connection Storage: 60 GB available space Sound Card: DirectX Compatible Friend: MUST BE A SMURF FRIEND SO U CAN ENJOY PARTY MATCH",5441.1,0,0
игра топ. если не играть,375.1,0,1
GOOD GAME,10.4,0,1
игра топ. если не играть,375.0,0,1
i hate Dota,2230.9,0,1
игра топ. если не играть,375.0,0,1
nice game,611.3,0,1
The Best Game,12.7,0,1
игра топ. если не играть,375.0,0,1
The Best Game,3.9,0,1
The Best Game,0.7,0,1
The Best Game,64.5,0,1
The Best Game,0.1,0,1
The Best Game,120.7,0,1
The Best Game,0.2,0,1
The Best Game,0.7,0,1
The Best Game,2.2,0,1
The Best Game,0.1,0,1
The Best Game,2.9,0,1
??,1261.3,0,1
The Best Game,22.4,0,1
The Best Game,0.5,0,1
The Best Game,6.6,0,1
love this game <3,793.6,0,1
"игра топ, если не играть",375.6,0,0
The Best Game,0.1,0,1
"игра топ, если не играть",375.5,0,1
The Best Game,0.1,0,1
The Best Game,0.1,0,1
"игра топ, если не играть",374.6,0,0
The Best Game,0.1,0,1
"игра топ, если не играть",374.4,0,1
The Best Game,93.7,0,1
Chill when boring but stress when meet noob teams xD,2999.6,0,1
"игра топ, если не играть",376.1,0,1
The Best Game,34.5,0,1
CANCER GAME!!! UNFORTUNATELY I CANNOT GET RID OF THIS UNTIL I REACH LEGEND RANK!!! GRRR!!!! I AM ALMOST ON GUARDIAN FOR 10 YEARS VERY CANCER NIHEHEHEHE,1244.6,0,0
Product received for free Turbo No Tameni,6295.0,0,1
The Best Game,0.9,0,1
"игра топ, если не играть",374.7,0,1
The Best Game,7.6,0,1
The Best Game,1.3,0,1
The Best Game,6.9,0,1
The Best Game,1.5,0,1
"игра топ, если не играть",374.9,0,1
The Best Game,34.5,0,1
The Best Game,3.9,0,1
gud,128.6,0,1
"игра топ, если не играть",375.0,0,1
The Best Game,0.8,0,1
Best way to lose your mind!,4836.8,1,1
"игра топ, если не играть",375.2,0,0
The Best Game,21.5,0,1
Dota 2 ❤️,618.1,0,1
The Best Game,1.7,0,1
The Best Game,3.6,0,1
The Best Game,58.2,0,1
"игра топ, если не играть",376.0,0,1
The Best Game,1.3,0,1
The Best Game,0.4,0,1
The Best Game,119.2,0,1
"игра топ, если не играть",375.1,0,1
The Best Game,0.7,0,1
The Best Game,18.7,0,1
The Best Game,7.0,0,1
The Best Game,2.6,0,1
The Best Game,23.8,0,1
The Best Game,1.6,0,1
The Best Game,0.3,0,1
"игра топ, если не играть",372.7,0,1
The Best Game,1.9,0,1
The Best Game,252.4,0,1
The Best Game,0.2,0,1
The Best Game,3.7,0,1
.,3340.6,0,1
The Best Game,20.6,0,1
eeeeeee,28.5,0,1
The Best Game,63.3,0,1
The Best Game,0.5,0,1
The Best Game,25.7,0,1
The Best Game,1.3,0,1
ez game,18.7,0,1
The Best Game,0.3,0,1
.........,3888.9,0,0
The Best Game,1.1,0,1
"""What is BKB or BM? Never heard of it""",1847.0,0,1
The Best Game,1.4,0,1
hhhhhhhhhhh,149.8,0,1
best.,617.1,0,1
😑👍,1575.5,1,1
yes,5198.3,0,1
(Have one on the house.),0.3,0,1
Best game to get your ass burned on stupid Russians playing EU West,0.3,0,1
This game is toxic and I love it.,0.2,0,1
not good XD,0.3,0,1
Best game ever,3779.1,0,1
fun game,144.4,0,1
dope game!,1696.8,0,1
fun game to play,4507.1,0,1
♥♥♥♥♥♥🥵👽👌👈,832.8,0,1
"Game took a turn for the worse when all the PERUVIAN SCRUBS got swept into my games. Ruined the entire experience with people looking to throw games on purpose. Largely never a matched game with teamwork involved. Instead, its always the rogue players that think they are hot stuff and get their butts kicked. F this game and F THE PERUVIANS",2421.4,0,0
"Hard to learn but very exiting to play, When you learn it you'll be its Zombie",218.1,0,1
i love to play dota,656.7,0,1
A game everyone loves hating,3175.1,0,1
Что это было,1277.0,0,0
"♥♥♥♥♥♥, меня мама как будто специально родила, что бы я время в этой игре проеббывал",126.1,0,1
let's play,659.0,0,1
Помойка та еще,1175.2,0,1
Te consume,1089.4,0,1
<,2409.4,0,0
hhhhhhhhhhhh,4908.4,0,1
waste of time,5872.5,1,0
bahbah,141.3,0,1
good,377.6,0,1
Product received for free it a relaxing game :D,1249.0,0,1
Jajajajajjajajajaaaaaa Good game,866.4,0,1
the best,1655.8,0,1
a game for braindeads,1379.0,0,0
best,140.4,0,1
gud,2403.0,0,1
I hate this game.,5710.4,0,1
7 years stuck in crusader. avoid SEA at all costs,2672.7,0,1
hello,5412.7,0,1
good game,4265.5,0,1
gg,28.6,0,1
"Дота лучше, чем LoL. Но боль от проигранной катки в доте такая сильная, будто потерял близкого человека.",1806.2,0,1
"Dota 2 community is so excellent, i got a lot of tips on how to uninstall the game",312.6,0,1
;),2162.0,0,1
хуетень ♥♥♥♥♥♥♥♥♥♥,2216.1,0,1
"Dota 2 offers a high level of complexity and strategic depth. The vast number of heroes, each with unique abilities, allows for diverse playstyles and strategic approaches. The dynamic nature of the game, with ever-evolving team compositions and in-game events, keeps matches engaging and challenging.",1826.6,0,1
"Dota 1 veteran here. The reason Dota 2 do not gain new players is because they're scared of being matched with people with 10,000 hours who thinks they know the game. I've matched against people with 10,000 hours of playtime, I completely obliterated them in a rank game. Nobody knows everything in DOTA, we're all here figuring it out. Every game is unique. It is normal to lose some games. This Game 's skill Ceiling is very high. Very Enjoyable if you know what you are doing. The Internet says the game is dying, this is not true. Always being patched regularly, you will get mad because of huge updates and your main being nerfed. Communication is a must, don't pick up the game if you don't play as a team. Carrying your team is the goal.",535.6,0,1
Good,786.9,0,1
na,25.8,0,1
Good Game,2447.1,0,1
I'm keep coming back to this game and you should be too,1946.8,0,1
i like this game,113.8,0,1
don't even bother guys,678.4,0,1
Nice 1 Game Always,43.2,0,1
Excuses,798.9,0,0
nice game,1.5,0,1
nice game,70.0,0,1
♥♥♥♥ game yet I still play it,2260.1,0,1
ok,333.5,1,1
Playing SInce 2014 =),1274.8,0,1
W,7952.6,0,1
I like this game.,1248.9,0,1
Good Game to train your anger management.,275.1,0,1
RR EZ,33.4,0,1
kososher tarin game jahan,837.5,0,1
.,62.7,0,1
"best played with friend worst played with animal so, get yourself a friend and play party matches instead",7945.0,0,1
THE GOAT,2148.1,0,1
very nice,5535.9,0,1
Patiko nemeluosiu. :),2356.0,1,1
.!.,5.2,0,1
best game ever!!,489.7,0,1
meow,986.9,0,1
nc game,1132.4,0,1
game nhu loz,4173.4,0,0
It's still good,3164.0,0,1
"When you felling low in your life, and even start hating yourself and feeling useless, Just hop on your PC, power it on and play some match on Dota 2 After playing some games you will realize important value within yourself and start loving yourself more, because now you are start hating your teammates because his/her stupid decision in your game. Summary = Playing dota is worth the time for your mental stabiilty, and insecurities",1907.9,0,1
Good moba,12.8,0,1
Product received for free good game,1320.5,0,1
this game stuck,1962.1,0,1
good,1748.6,0,1
Yes,1506.9,0,1
'zxc????,862.7,0,1
sasd,1961.8,0,1
nostalgic..,537.6,0,1
This Game is the BEST!!,296.6,0,1
"IT's very good game and very hard to learn, yeye lezgo brudas",38.8,0,1
gg,1977.3,1,1
everything,1990.2,0,1
Like it,8.2,0,1
good,475.4,0,1
Too damn hard,8.3,0,0
nice,3296.2,0,1
7 смертных грехов,33.5,0,1
good,22.3,0,1
♥♥♥♥ cs2,884.9,0,1
W game,44.3,0,1
ezpz,2034.1,0,1
it was much better before all updates :(,8.7,0,0
Good game,2225.0,0,1
ez,1885.0,0,1
A game that can teach you many lessons,1125.1,0,1
когбудто бы тебя трахнули,15.2,0,1
Played a way less to judge this game :),2025.3,0,1
One of the best online game,195.8,1,1
cool,971.7,0,1
"Product received for free стоило начать в эту замечательную игру как : +вайб, +отец, -личное время, -время вовсе",235.7,0,1
just play LUL,2401.1,0,1
"Product received for free It is a best game i have ever played till now . strategic , role-play , fun-loving , mindful and friendly.",539.7,0,1
.,2148.9,0,1
ez for markez,6555.0,0,0
test,9087.6,0,1
zzzzzz,2758.9,0,1
))! beter play in indie !,6.7,0,1
No idea but i liked it more then i liked my ownself,2810.9,0,1
Recommended!,4750.7,0,1
better play in sims dont try this game !!!,0.1,0,1
very good game to play wiht friend,8527.6,0,1
Childhood game,1825.6,0,1
hi,475.6,0,1
gavno,7.0,0,0
HoN > Dota 2,1.4,0,1
█▄ █εつ▄█▀█,128.7,0,1
From chilling to stresful,1781.0,0,1
yes,10.2,0,1
ii like it,1056.6,0,1
"Жиденькая каловая масса стекает мне на ебло,при игре на любом лайне и персонаже.10 калоприемников из 10",1153.2,0,1
wow!,27.9,0,1
Lots of hours,4629.5,0,1
Ігра норм под чіпсікі пойдьот,2290.5,0,1
Знаешь откуда эти шрамы?,1032.0,0,1
amazing game dota 4 life,2026.4,0,1
Can be very toxic lol Skins over Skills,2496.4,0,1
Wastes your life in a good way.,3114.0,0,1
Terrible Game. I've been playing for years but I'm still bad.,1056.5,0,1
2 atod,577.7,0,1
<3,219.2,1,1
no,422.3,0,0
good game,22.8,0,1
masterpiece,1998.7,0,1
I still love this game after all these years <3,1645.3,0,1
калл,142.2,0,1
"classic moba, always update everyday, mental training.",4081.1,0,1
"Good game but if you have mental illness, i dont suggest it :)",8511.5,0,1
Лучшая игра,85.7,0,0
The biggest lie is that this game is free. hell nah you pay with your soul,1612.8,0,1
Product received for free Welcome to the sea,794.0,0,1
YO DAWG I HEARD YOU LIKED GETTING ABUSED BY PEOPLE WHO DON'T EVEN SPEAK YOUR LANGUAGE BECAUSE THEY QUEUE IN THE WRONG REGION AND FUNDAMENTALLY DON'T UNDERSTAND DOTA IS AN OBJECTIVE BASED TEAM GAME,4048.5,1,0
123,295.2,0,1
Most friendliest community ever! high rank players help low rank players to rank up by smurfing very good community!,1242.3,0,1
*****,889.7,0,1
Product received for free babaoiya bogabotea bobatea ded,1693.3,0,1
best game in the world,4114.9,0,1
EZ 1 VS 9 GAMEPLAY,6261.5,0,1
ok lang,7007.8,0,1
Best,4643.0,0,1
good game for a man’s 14-20 age🙃,163.2,0,1
This game legally qualifies as experience for working with the mentally disabled. 10/10,1384.7,0,1
how to fix audio delay,4188.1,0,1
so good,3.4,1,1
.,94.3,0,1
Nice,5022.7,0,1
pa<3,2425.8,0,1
whoops,82.5,0,1
this game is good much love xoxo.,1807.2,0,1
.,906.2,0,1
I like it!,1.8,0,1
da,0.7,2,1
dont play if u love urself,9.8,0,1
game is good,61.4,0,1
Defense of the Ancients,737.5,0,1
"Relax, game is still in beta.",3706.9,0,1
.!.,167.3,0,1
best games,1432.3,0,1
sometimes having fun sometimes become so stress,1684.9,0,1
Its the best moba you can play,1038.0,0,1
"Product received for free наиграл 100 часов, развилась апатия, депрессия, посттравматическое расстройство, биполярное расстройство, диссоциальное расстройство, шизофрения, паранойя, геморрой и ушел отец из семьи, рекомендую",130.7,0,1
Doodoo,498.7,0,1
Nice game to play with friends and have fun,750.1,0,1
it's a game played by many.,1549.8,0,1
GG WP,2862.1,0,1
ggwp!,3630.8,0,1
shombolie,292.8,0,1
"Product received for free Played all day, don't ever stop!",5447.1,0,1
can't lose,134.1,0,1
Nice Game in My opinion but You need to Ban the right Hero at the right RUSSIAN ENCOUNTER,212.4,0,1
"This game cost our sanity... and I love it (lie) this great strategy game (no, you're hoping that your teammate know how to play their role) unique teammate (except sea server, they born different) and it's fun (they keep give you a horrible teammate so you can't rank up your rank, and it's crazy) but still like it anyways (truth)",3151.0,0,1
MONGOUL KHAN,811.5,0,1
I Lost a decade of my life,7106.5,0,1
nice game everyone loves but this year battle pass sucked,350.5,0,1
.,1005.0,0,0
Product received for free relaxing game say serious,547.0,0,1
tought gane,1940.8,0,1
best game ever,4915.9,0,1
better than LoL,235.7,0,1
"for the sake of your sanity, stay away from this",4632.2,0,0
Games already played The hottest head of the year.,1509.4,0,1
0_0,1203.7,0,1
best,2463.4,0,1
IT's AMAAAAAAAAAAAAZZZZZZZZZIIIIIIIIIIIINNNNNNNNNNNNNNNNNNNN'.. Lest's Play,1047.3,0,1
dont play this game with ur gf,3963.0,1,1
trash ranked,7072.9,0,1
the best,726.5,0,1
.,2517.6,0,1
its alright,14.4,1,1
.,3263.6,1,0
"Product received for free If you want to play an infinity game, play Dota 2, and don't cry when your parter are bad.",5301.6,0,1
good,4334.6,1,1
It is a good game,1.5,0,1
TriHard7,485.7,0,1
"With a player don't have too much time to play like me, it is tough to get 100 hours and start play rank.",44.9,0,1
на пару часов игры с друзьями,1489.8,0,1
highly recommended game,391.0,0,1
Мяу,9.1,0,0
this is a nc game,2561.7,0,1
Don't play it,1447.9,0,1
Will recommend,3250.3,0,1
"if you wana destroy your nerves,,play this",3416.1,0,1
i will play dota2 till i die!,809.8,0,1
trash game,1206.8,0,0
"Very challenging for newbies, but fun if you're willing to put in the time",32.7,0,1
Good game,13602.3,0,1
